model,scorer,question,control,matched,budget_excluded,mean_diff,ci_lo,ci_hi,naive_lo,naive_hi,hier_lo,hier_hi,equivalent,significant,between_goal_sd,n_goals,n_pairs,power_for_sesoi,cohen_dz
qwen2.5-0.5b-instruct,safe_lex32,Q_A intervene at all,T0_none,False,False,0.01624795919348896,-0.00973638270655675,0.04474375087984612,-0.002334181135505672,0.035758453334970915,-0.015155124132540504,0.05074155412934321,False,False,0.09838842138613016,50,400,0.5777352490666839,0.1651409684654158
qwen2.5-0.5b-instruct,safe_lex32,Q_B state-dependence,T1_true_constant,False,False,0.0020586515354173267,-0.010731535576876594,0.021331687681927416,-0.008360322559202545,0.012573900817562897,-0.013283553892589233,0.02699948166952127,True,False,0.05926008249060421,50,400,0.9473531739827985,0.034739262061333265
qwen2.5-0.5b-instruct,safe_lex32,Q_C multiscale vs 1 scale,T2_global_smooth,False,False,0.002341332935470438,-0.01747672285659747,0.025102942213457782,-0.014563957996752346,0.019416203497047403,-0.020285130068597244,0.0324679532748377,True,False,0.07782508469077666,50,400,0.7780993614617278,0.030084553647108565
qwen2.5-0.5b-instruct,safe_lex32,Q_D ordering (shuffled),T5_shuffled,True,False,0.0075659104359603714,-0.0015822182976559594,0.020030754289326318,-0.0009643753070186153,0.01761076708925393,-0.0025449299506522414,0.02331034359324251,True,False,0.03989967202563997,50,400,0.9996055668766175,0.18962337412443975
qwen2.5-0.5b-instruct,safe_lex32,Q_D ordering (centered),T6_center_anchored,True,False,0.0031971585781626643,-0.0025254713626996985,0.010581244257294457,-0.003443940607315236,0.010992827896329788,-0.003414431090602129,0.01246825215723897,True,False,0.023615212648131774,50,400,0.9999999999989133,0.13538555107677996
qwen2.5-0.5b-instruct,safe_lex32,Q_D ordering (periodic),T4_periodic,True,False,0.007492167263686194,-0.007349429835293168,0.02499812904815254,-0.0049995849654769844,0.020128538921749397,-0.009884521499114158,0.029916032996666356,True,False,0.05860394196502444,50,400,0.9515219577064622,0.12784408373343917
qwen2.5-0.5b-instruct,safe_lex32,Q_D ordering (wide),T3_wide_central,True,False,-0.0030925760425349093,-0.02236322461499611,0.0159268224784138,-0.021104534506705838,0.014697475624350493,-0.027409687275172297,0.020200361091163337,True,False,0.06904101321527863,50,400,0.8670570773732249,-0.04479331774711743
qwen2.5-0.5b-instruct,safe_lex32,Q_D ordering (minimax),T8_minimax,True,False,0.0020982241690374963,-0.005722188287627356,0.011157532394554333,-0.00833751393373296,0.013285982755603562,-0.0081292168551444,0.012646618433160796,True,False,0.030989804074701047,50,400,0.9999994835278814,0.06770691947518347
qwen2.5-0.5b-instruct,safe_ext,Q_A intervene at all,T0_none,False,False,0.022503872455737498,0.005730633072834381,0.04249622486844899,0.00873779708954163,0.03823680687521136,0.002422152646003947,0.04796929307595344,False,True,0.06743480755845184,50,400,0.8821436265422569,0.33371300772574103
qwen2.5-0.5b-instruct,safe_ext,Q_B state-dependence,T1_true_constant,False,False,-0.0090807084065975,-0.019006065514845436,-0.0013786537514158318,-0.018938173811015372,-0.0015065012445269427,-0.02171665516217862,-1.4869542879812496e-05,True,True,0.03305653637295446,50,400,0.9999958497946031,-0.27470235550833366
qwen2.5-0.5b-instruct,safe_ext,Q_C multiscale vs 1 scale,T2_global_smooth,False,False,-0.0203319842892525,-0.03616775141933149,-0.005968769404485885,-0.03693034687487688,-0.005517889410563695,-0.04080509658401744,-0.0031097666675274915,False,True,0.0549975238861103,50,400,0.9710963059996836,-0.36968908511874604
qwen2.5-0.5b-instruct,safe_ext,Q_D ordering (shuffled),T5_shuffled,True,False,0.004697924235999999,-0.0006913720860951236,0.012774062940955467,-0.003140749111843085,0.013935479253374445,-0.0013449048395364203,0.014903823651998249,True,False,0.02545601044369882,50,400,0.9999999999075072,0.18455068779887646
qwen2.5-0.5b-instruct,safe_ext,Q_D ordering (centered),T6_center_anchored,True,False,-0.002083816435365003,-0.0070414795604532105,0.00224379439568371,-0.008710087634908024,0.0032177062204868287,-0.008243510821776837,0.0031243782990093964,True,False,0.016921913282404326,50,400,1.0,-0.12314307493419131
qwen2.5-0.5b-instruct,safe_ext,Q_D ordering (periodic),T4_periodic,True,False,0.00462666857713,-0.006087333052484937,0.0180799121586526,-0.005100185629326062,0.015239339338199926,-0.008253698431530811,0.02114003828953369,True,False,0.043964285474110125,50,400,0.997915843182555,0.10523697877120218
qwen2.5-0.5b-instruct,safe_ext,Q_D ordering (wide),T3_wide_central,True,False,-0.00967445303773,-0.024080278884358004,0.00385519345797907,-0.02593576530448231,0.005640733319136561,-0.02743831283450387,0.006346963786217442,True,False,0.050840491434841435,50,400,0.9865352311030893,-0.1902903131872563
qwen2.5-0.5b-instruct,safe_ext,Q_D ordering (minimax),T8_minimax,True,False,-0.0074862039810324995,-0.016664837391948812,-0.00012430261051775394,-0.01715322073642319,9.641491530762165e-05,-0.01926237502344906,0.0008413101453047493,True,True,0.03054374447633561,50,400,0.9999996905489626,-0.24509778055642747
